Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Développeur Full Stack (mission client final) (h/f) / Freelance,Développeur Full Stack (mission client final) (h/f) / Freelance - Lyon (69) - Indeed.fr,emagine,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist – Machine Learning – Artificial Intelligence,Data Scientist – Machine Learning – Artificial Intelligence - Paris (75) - Indeed.fr,One2Team,One2team,4,"3,5","3,5","3,5","2,8","3,0","3,0"
Data Ingenieur Junior,Data Ingenieur Junior - Paris (75) - Indeed.fr,IPANEMA CONSULTING,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur Backend - H/F,Développeur Backend - H/F - Paris (75) - Indeed.fr,PLES Convergence,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage – Data Scientist / Machine Leaning,Stage – Data Scientist / Machine Leaning - Paris (75) - Indeed.fr,IT-CE,IT-CE,8,"4,1","4,1","3,5","3,3","4,3","4,2"
Data Engineer (H/F),Data Engineer (H/F) - Paris (75) - Indeed.fr,Natixis,Natixis,357,"3,9","3,9","3,8","3,4","3,6","3,7"
Research Scientist (AI),Research Scientist (AI) - Paris (75) - Indeed.fr,Facebook,Facebook,431,"4,2","4,0","3,9","3,6","3,6","4,1"
Stage Data Engineer (H/F),Stage Data Engineer (H/F) - Paris (75) - Indeed.fr,Natixis,Natixis,357,"3,9","3,9","3,8","3,4","3,6","3,7"
Ingénieur DevOps H/F,Ingénieur DevOps H/F - Paris (75) - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur Réseaux et Sécurité H/F,Ingénieur Réseaux et Sécurité H/F - Paris (75) - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - La Défense (92) - Indeed.fr,Kaizendata,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Machine Learning & Deep learning Scientist,Machine Learning & Deep learning Scientist - Paris (75) - Indeed.fr,L'Oréal,L'Oréal,2,"4,2","3,8","4,0","3,7","3,8","4,0"
Deep Learning Engineer // Full-time,Deep Learning Engineer // Full-time - 75014 Paris 14e - Indeed.fr,Stereolabs,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data scientist,Data scientist - Paris (75) - Indeed.fr,FABDEV,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,SESAMm,SESAMm,2,"5,0","4,5","5,0","4,5","5,0","5,0"
Lead Data Scientist,Lead Data Scientist - Paris (75) - Indeed.fr,Digital Source,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,Faurecia,Faurecia,1,"3,7","3,4","3,7","3,2","3,2","3,5"
Social Data Analyst,Social Data Analyst - Paris (75) - Indeed.fr,FunFacts,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data scientist Paris,Data scientist Paris - Paris (75) - Indeed.fr,MALT,Malt,4,"3,8","3,8","4,0","3,5","3,0","3,5"
data scientist maintenance prédictive secteur défense,data scientist maintenance prédictive secteur défense - Paris (75) - Indeed.fr,MP DATA,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Game Data Analyst,Game Data Analyst - Paris (75) - Indeed.fr,Gameloft,Gameloft,67,"3,8","3,8","3,2","3,0","3,2","3,5"
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,BI Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur Système Unix/Linux H/F,Ingénieur Système Unix/Linux H/F - 75001 Paris 1er - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur Système Windows H/F,Ingénieur Système Windows H/F - 75001 Paris 1er - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data scientist,Data scientist - Val-de-Marne - Indeed.fr,HIGHTEAM,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
