Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Consultant Microsoft BI,Consultant Microsoft BI - Paris (75) - Indeed.fr,Ucase Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant ERP F/H,Consultant ERP F/H - Genas (69) - Indeed.fr,S&You,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Expert Décisionnel SAP BI (H/F),Expert Décisionnel SAP BI (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Formateur National H/F,Formateur National H/F - France - Indeed.fr,TechSell,Techsell,36,"3,6","3,7","3,4","3,0","3,6","3,7"
STAGE - Quant/IT - 6 mois,STAGE - Quant/IT - 6 mois - Paris (75) - Indeed.fr,Fideas Capital,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business Intelligence Analyst - Fintech,Business Intelligence Analyst - Fintech - Paris (75) - Indeed.fr,Payments & Cards Network,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Chef de Projets Business Intelligence, Lyon (H/F)","Chef de Projets Business Intelligence, Lyon (H/F) - Lyon (69) - Indeed.fr",Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Stage (pré-embauche)Consultant Décisionnel Junior,Stage (pré-embauche)Consultant Décisionnel Junior - Paris (75) - Indeed.fr,Twin solutions,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage en Business Intelligence,Stage en Business Intelligence - Levallois-Perret (92) - Indeed.fr,SOFALI CONSULTING,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Responsable BI (F/H),Responsable BI (F/H) - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT Business Analyst BI RH (H/F),IT Business Analyst BI RH (H/F) - 93100 Montreuil - Indeed.fr,Ubisoft,Ubisoft,190,"4,0","4,0","3,3","3,4","3,5","4,1"
Consultant MS Business Intelligence (H/F),Consultant MS Business Intelligence (H/F) - Paris (75) - Indeed.fr,Azeo Talents & Technology,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Formateur National H/F,Formateur National H/F - France - Indeed.fr,TechSell,Techsell,36,"3,6","3,7","3,4","3,0","3,6","3,7"
"STAGE - BUSINESS ANALYST IT, H/F","STAGE - BUSINESS ANALYST IT, H/F - Montreuil (93) - Indeed.fr",BNP Paribas,BNP Paribas,2,"3,9","3,9","3,7","3,6","3,5","3,8"
Ingénieur développement,Ingénieur développement - Lyon 3e (69) - Indeed.fr,KINOUGARDE,Kinougarde,580,"4,2","4,3","3,3","3,5","3,9","3,9"
Data Analyst Tableau Junior,Data Analyst Tableau Junior - Vincennes (94) - Indeed.fr,Synaltic,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant ERP F/H,Consultant ERP F/H - Genas (69) - Indeed.fr,S&You,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur business intelligence (H/F) (CDI),Développeur business intelligence (H/F) (CDI) - Lyon (69) - Indeed.fr,TEREVA,TEREVA,17,"2,9","3,1","2,4","2,7","2,8","3,2"
Stage MOA Business intelligence (H/F),Stage MOA Business intelligence (H/F) - Paris (75) - Indeed.fr,NATIXIS,Groupe Bpce,43,"3,7","3,8","3,5","3,3","3,1","3,3"
Ingénieur Développement Logiciel Produits Débarqués F/H,Ingénieur Développement Logiciel Produits Débarqués F/H - Villeurbanne (69) - Indeed.fr,ALSTOM,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA ANALYST H/F,DATA ANALYST H/F - Paris (75) - Indeed.fr,SODIAAL INTERNATIONAL,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant(e) Business Intelligence MicroStrategy (H/F),Consultant(e) Business Intelligence MicroStrategy (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
CONCEPTEUR DEVELOPPEUR DATA / BUSINESS INTELLIGENCE H/F,CONCEPTEUR DEVELOPPEUR DATA / BUSINESS INTELLIGENCE H/F - Lyon (69) - Indeed.fr,Econocom,Econocom,84,"3,0","3,0","2,5","2,5","2,7","2,7"
Business Analyst BI Bilingue F/H,Business Analyst BI Bilingue F/H - Lyon 6e (69) - Indeed.fr,PROJETS PERFORMANCE OPE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Oracle E-Business Suite (H/F),Consultant Oracle E-Business Suite (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Chercheur Postdoctoral H/F au sein de l'Institut AIM (Artificial Intelligence Management),Chercheur Postdoctoral H/F au sein de l'Institut AIM (Artificial Intelligence Management) - Lyon (69) - Indeed.fr,EMLYON,EMLYON,2,"5,0","5,0","5,0","5,0","5,0","5,0"
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Manager Décisionnel - Business Intelligence F/H,Manager Décisionnel - Business Intelligence F/H - Lyon 2e (69) - Indeed.fr,FRG Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Investment Data Manager H/F,Investment Data Manager H/F - Saint-Denis (93) - Indeed.fr,Generali France,Generali France,150,"3,9","3,9","3,6","3,4","3,4","3,6"
Consultant Avant-vente H/F (Lyon),Consultant Avant-vente H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
Développeur MS BI F/H,Développeur MS BI F/H - Lyon 7e (69) - Indeed.fr,Groupe APSAROKE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Customer Operations Manager,Customer Operations Manager - Courbevoie (92) - Indeed.fr,HERE Technologies,HERE Technologies,223,"3,8","4,1","3,7","3,4","3,4","3,9"
STAGE PowerBI support à l'équipe IT (H/F),STAGE PowerBI support à l'équipe IT (H/F) - Saint-Fons (69) - Indeed.fr,Bluestar Silicones,Bluestar Silicones,25,"4,1","4,1","4,1","3,6","3,3","3,6"
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Junior Data Intelligence H/F (Lyon),Consultant Junior Data Intelligence H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
Enrichissement du reporting BI (business intelligence) de Diapason.,Enrichissement du reporting BI (business intelligence) de Diapason. - Paris (75) - Indeed.fr,MCC SAS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Développeur / Software Craftmanship – Java, Lyon (H/F)","Développeur / Software Craftmanship – Java, Lyon (H/F) - Lyon (69) - Indeed.fr",Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Investment Data Manager H/F,Investment Data Manager H/F - Saint-Denis (93) - Indeed.fr,Generali France,Generali France,150,"3,9","3,9","3,6","3,4","3,4","3,6"
