Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Stage - Développeur Portail Collaboratif Avancé H/F,Stage - Développeur Portail Collaboratif Avancé H/F - Lyon (69) - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Marketing Data Analyst - Blédina (h/f),Marketing Data Analyst - Blédina (h/f) - Limonest (69) - Indeed.fr,DANONE,Danone,2,"4,2","3,9","4,0","3,7","3,8","4,0"
Stage - Operations Projects & Data Analyst (H/F),Stage - Operations Projects & Data Analyst (H/F) - Paris (75) - Indeed.fr,Frichti,Frichti,16,"3,3","3,4","3,1","3,2","2,9","3,4"
Business Analyst- Lyon- Montreal Asscociates,Business Analyst- Lyon- Montreal Asscociates - Lyon (69) - Indeed.fr,montreal,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst (stage),Data Analyst (stage) - Paris (75) - Indeed.fr,Selency,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Predictive Maintenance Project Manager Uptime & Digitalization,Predictive Maintenance Project Manager Uptime & Digitalization - Lyon (69) - Indeed.fr,Group Trucks Technology,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage - Contrôleur financier / data analyst,Stage - Contrôleur financier / data analyst - Puteaux (92) - Indeed.fr,AXA,AXA,1,"3,9","3,8","3,6","3,4","3,5","3,7"
Predictive Maintenance Project Manager Uptime & Digitalization,Predictive Maintenance Project Manager Uptime & Digitalization - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
Développeur sur un centre de service Digital - Lyon H/F,Développeur sur un centre de service Digital - Lyon H/F - Lyon (69) - Indeed.fr,Viveris,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BUSINESS ANALYST,BUSINESS ANALYST - Paris (75) - Indeed.fr,CANDIA,CANDIA,25,"3,6","3,3","3,0","2,9","2,9","3,1"
PRICING ANALYST H/F,PRICING ANALYST H/F - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst Intern,Data Analyst Intern - Paris (75) - Indeed.fr,Dashlane,Dashlane,2,"3,5","4,0","4,0","4,0","2,5","3,0"
Profil Full DevOps,Profil Full DevOps - Lyon (69) - Indeed.fr,AMETIX,AMETIX,2,"4,5","4,5","4,5","4,5","4,5","4,5"
