Titre,Titre2,Nom,Nom2,Avis,NoteGlobale,Équilibre_vie_professionnelle_personnelle,Salaire_Avantages_sociaux,Sécurité_emploi_Évolution_carrière,Management,Culture_d'entreprise,Metier
Predictive Maintenance Project Manager Uptime & Digitalization,Predictive Maintenance Project Manager Uptime & Digitalization - Lyon (69) - Indeed.fr,Group Trucks Technology,,,,,,,,,data_analyst
Stage - Contrôleur financier / data analyst,Stage - Contrôleur financier / data analyst - Puteaux (92) - Indeed.fr,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Predictive Maintenance Project Manager Uptime & Digitalization,Predictive Maintenance Project Manager Uptime & Digitalization - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9",data_analyst
BUSINESS ANALYST,BUSINESS ANALYST - Paris (75) - Indeed.fr,CANDIA,CANDIA,25.0,"3,6","3,3","3,0","2,9","2,9","3,1",data_analyst
Data Analyst Intern,Data Analyst Intern - Paris (75) - Indeed.fr,Dashlane,Dashlane,2.0,"3,5","4,0","4,0","4,0","2,5","3,0",data_analyst
Data Analyst Junior,Data Analyst Junior - Paris (75) - Indeed.fr,OuiCar,,,,,,,,,data_analyst
Data analyst (F/H),Data analyst (F/H) - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
WEB ANALYST JUNIOR - STAGE (F/H),WEB ANALYST JUNIOR - STAGE (F/H) - Clichy (92) - Indeed.fr,Sarenza,Sarenza,20.0,"4,2","4,2","3,4","2,9","3,6","4,2",data_analyst
Data Analyst/Data Scientist (H/F),Data Analyst/Data Scientist (H/F) - 69002 Lyon 2e - Indeed.fr,ADECCO PME,Adecco,14.0,"3,8","3,7","3,3","3,1","3,5","3,6",data_analyst
CDI- Global Head of Clinical Data Management H/F,CDI- Global Head of Clinical Data Management H/F - Craponne (69) - Indeed.fr,bioMerieux,bioMerieux,355.0,"3,8","3,6","3,8","3,2","3,2","3,6",data_analyst
Assistant analyste des données - Stage (H/F),Assistant analyste des données - Stage (H/F) - Paris (75) - Indeed.fr,La Mutuelle Générale,La Mutuelle Générale,19.0,"3,3","3,6","2,9","2,6","2,8","2,7",data_analyst
Stage - support équipe Supply & Demand (F/H),Stage - support équipe Supply & Demand (F/H) - Craponne (69) - Indeed.fr,bioMerieux,bioMerieux,355.0,"3,8","3,6","3,8","3,2","3,2","3,6",data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,La Relève,La Relève,3.0,"4,7","4,0","4,5","4,0","4,0","4,0",data_analyst
Business Analyst - H/F,Business Analyst - H/F - Lyon (69) - Indeed.fr,Kenseo,,,,,,,,,data_analyst
Software Developer M/F,Software Developer M/F - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9",data_analyst
Analyste Transaction Services secteur Industries F/H,Analyste Transaction Services secteur Industries F/H - Lyon 1er (69) - Indeed.fr,PricewaterhouseCoopers,PwC,6.0,"4,0","3,4","3,7","3,8","3,7","3,8",data_analyst
Business Analyste H/F,Business Analyste H/F - Lyon (69) - Indeed.fr,HR Link France,,,,,,,,,data_analyst
DATA SCIENTIST H/F,DATA SCIENTIST H/F - Levallois-Perret (92) - Indeed.fr,BNP Paribas Personal Finance,BNP Paribas Personal Finance,96.0,"4,0","4,0","3,9","3,6","3,6","3,8",data_analyst
Développeur C# MVC .Net,Développeur C# MVC .Net - 69578 Limonest - Indeed.fr,LDLC,LDLC,7.0,"4,7","4,3","3,8","4,0","3,8","3,3",data_analyst
RESPONSABLE INFORMATIQUE (H/F),RESPONSABLE INFORMATIQUE (H/F) - Lyon (69) - Indeed.fr,Dimension RH,,,,,,,,,data_analyst
Analyste concepteur.NET/ SQL Server F/H,Analyste concepteur.NET/ SQL Server F/H - Lyon 3e (69) - Indeed.fr,NODYA GROUP,,,,,,,,,data_analyst
Financial Data Analyst,Financial Data Analyst - Nanterre (92) - Indeed.fr,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Analyste/Développeur Décisionnel SQL (H/F),Analyste/Développeur Décisionnel SQL (H/F) - France - Indeed.fr,CORDON ELECTRONICS SAS,,,,,,,,,data_analyst
Business & Data Analyst (Intern),Business & Data Analyst (Intern) - Paris (75) - Indeed.fr,Blade,BLADE,27.0,"5,0","4,6","4,6","5,0","4,9","5,0",data_analyst
"Internship - Data Analyst France, Analytics","Internship - Data Analyst France, Analytics - Paris (75) - Indeed.fr",Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_analyst
INGENIEUR D'ETUDE FULL STACK JAVA / ANGULAR F/H,INGENIEUR D'ETUDE FULL STACK JAVA / ANGULAR F/H - Lyon 1er (69) - Indeed.fr,INFORMATIS T.S.,,,,,,,,,data_analyst
Internship - Data Analyst France,Internship - Data Analyst France - Paris (75) - Indeed.fr,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_analyst
Stage : Analyste Développeur BI (H/F),Stage : Analyste Développeur BI (H/F) - Rhône - Indeed.fr,CGI,CGI Group,2.0,"3,7","3,7","3,5","3,3","3,3","3,5",data_analyst
Data Analyst Intern (H/F),Data Analyst Intern (H/F) - Paris 9e (75) - Indeed.fr,Teemo,,,,,,,,,data_analyst
DATA ANALYST BI H/F H/F,DATA ANALYST BI H/F H/F - 92100 Boulogne-Billancourt - Indeed.fr,BVA Group,BVA Group,18.0,"3,8","3,7","3,7","3,2","3,9","3,8",data_analyst
Economic and Financial Data Analyst - (F/H) - Stage,Economic and Financial Data Analyst - (F/H) - Stage - Paris (75) - Indeed.fr,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Data Analyst Junior,Data Analyst Junior - Paris (75) - Indeed.fr,Feed,,,,,,,,,data_analyst
VIE - Strategy Analyst - Londres - 12 mois - M/F,VIE - Strategy Analyst - Londres - 12 mois - M/F - France - Indeed.fr,Natixis,Natixis,357.0,"3,9","3,9","3,8","3,4","3,6","3,7",data_analyst
Assistant(e) Customer Data Analyst (H/F),Assistant(e) Customer Data Analyst (H/F) - Hauts-de-Seine - Indeed.fr,AccorHotels,AccorHotels,2.0,"4,1","3,8","3,6","3,7","3,7","3,9",data_analyst
Data Consultant Analyst,Data Consultant Analyst - Paris (75) - Indeed.fr,Mon ami Français,,,,,,,,,data_analyst
Contractor - Senior Statistical Programmer,Contractor - Senior Statistical Programmer - France - Indeed.fr,Cytel,,,,,,,,,data_analyst
Data Engineer/ Développeur Odoo,Data Engineer/ Développeur Odoo - Paris 2e (75) - Indeed.fr,Advise,,,,,,,,,data_analyst
Senior Operations Analyst,Senior Operations Analyst - Paris (75) - Indeed.fr,Currency trading and market maker company,,,,,,,,,data_analyst
Human Resources Data Analyst,Human Resources Data Analyst - Boulogne-Billancourt (92) - Indeed.fr,CWT,CWT,35.0,"3,4","3,5","2,8","2,9","3,3","3,2",data_analyst
Economic and Financial Data Analyst - (F/H) - Internship,Economic and Financial Data Analyst - (F/H) - Internship - Paris (75) - Indeed.fr,AXA General Insurance,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Economic and Financial Data Analyst - (F/H) - Internship,Economic and Financial Data Analyst - (F/H) - Internship - Paris (75) - Indeed.fr,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7",data_analyst
Data Science Internship- European Gas Market Analyst Desk,Data Science Internship- European Gas Market Analyst Desk - Courbevoie (92) - Indeed.fr,ENGIE Global Markets - Paris La Défense,,,,,,,,,data_analyst
Identity Data Analyst Internship,Identity Data Analyst Internship - Paris (75) - Indeed.fr,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0",data_analyst
6-months Big Data Analyst Internship,6-months Big Data Analyst Internship - Paris (75) - Indeed.fr,Eurofins,Eurofins,739.0,"3,2","3,3","2,8","2,7","2,7","3,0",data_analyst
Operations data analyst intern (Paris),Operations data analyst intern (Paris) - Paris (75) - Indeed.fr,Stuart,Stuart,36.0,"3,5","3,6","3,1","2,8","3,1","3,2",data_analyst
Data Analyst (H/F) - Internship starting after June,Data Analyst (H/F) - Internship starting after June - Paris (75) - Indeed.fr,papernest,,,,,,,,,data_analyst
Fleet Analyst - Logistic coordinator,Fleet Analyst - Logistic coordinator - Paris (75) - Indeed.fr,Ontruck,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,Aircall,,,,,,,,,data_analyst
Data Analyst - BlaBlaLines,Data Analyst - BlaBlaLines - Paris (75) - Indeed.fr,BlaBlaCar,BlaBlaCar,2.0,"4,5","3,5","4,0","2,0","3,5","5,0",data_analyst
CDI - Lead Data Analyst (H/F),CDI - Lead Data Analyst (H/F) - 75009 Paris 9e - Indeed.fr,Younited Credit,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,TRAACKR,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,PeopleDoc,PeopleDoc,2.0,"3,0","3,5","4,0","4,0","2,0","4,0",data_analyst
Strategic Customers - Junior Data Analyst (F/M),Strategic Customers - Junior Data Analyst (F/M) - Paris (75) - Indeed.fr,SAP,SAP,1.0,"4,3","4,1","4,0","3,9","3,9","4,1",data_analyst
"Data Production Analyst, RWAS Technology","Data Production Analyst, RWAS Technology - Paris (75) - Indeed.fr",IQVIA,IQVIA,193.0,"3,7","3,7","3,6","3,4","3,3","3,5",data_analyst
"Data Scientist,Optimisation And Trading Analysis","Data Scientist,Optimisation And Trading Analysis - Paris (75) - Indeed.fr",EDF Trading,EDF,1.0,"4,0","3,9","3,9","3,6","3,5","3,7",data_analyst
Business/data Analyst,Business/data Analyst - Paris 8e (75) - Indeed.fr,OPPCHAIN PARIS,,,,,,,,,data_analyst
Stage Juillet 2019 - Business Intelligence & Data Analyst - Retail/Tech,Stage Juillet 2019 - Business Intelligence & Data Analyst - Retail/Tech - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
Intern Data Analyst,Intern Data Analyst - Paris (75) - Indeed.fr,Artefact,Artefact,3.0,"5,0","5,0","4,7","4,7","5,0","4,7",data_analyst
Data Analyst Marketing,Data Analyst Marketing - Paris (75) - Indeed.fr,Gameloft,Gameloft,67.0,"3,8","3,8","3,2","3,0","3,2","3,5",data_analyst
Data Analyst - Projets Supply Chain. H/F,Data Analyst - Projets Supply Chain. H/F - Île-de-France - Indeed.fr,Exolys,,,,,,,,,data_analyst
Supply Chain Optimisation Analyst (M/F),Supply Chain Optimisation Analyst (M/F) - Marne-la-Vallée (77) - Indeed.fr,Disneyland Paris,Disneyland Paris,597.0,"4,0","3,7","3,5","3,6","3,6","4,2",data_analyst
Stage de Fin d'Etudes - Business Intelligence & Data Analyst - Retail/Tech,Stage de Fin d'Etudes - Business Intelligence & Data Analyst - Retail/Tech - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
Junior Data Scientist M/W,Junior Data Scientist M/W - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2.0,"4,0","3,6","3,9","3,4","3,5","3,7",data_analyst
Data Analyst (H/F),Data Analyst (H/F) - Boulogne-Billancourt (92) - Indeed.fr,Renault,Renault,3.0,"4,0","3,9","3,7","3,5","3,6","3,8",data_analyst
CDI - Lead Data Analyst (H/F),CDI - Lead Data Analyst (H/F) - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
