Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
DATA ANALYST (H/F),DATA ANALYST (H/F) - PARIS (75) - INDEED.FR,Allianz France,Allianz,128.0,"3,8","3,7","3,5","3,3","3,3","3,5"
SR. SALESFORCE ANALYST,SR. SALESFORCE ANALYST - SAINT-PRIEST (69) - INDEED.FR,ResMed,ResMed,93.0,"3,8","3,6","4,0","3,0","3,2","3,5"
ANALYSTE DÉCISIONNEL F/H,ANALYSTE DÉCISIONNEL F/H - LYON 9E (69) - INDEED.FR,KEYRUS,Keyrus,10.0,"3,8","3,4","3,0","2,8","3,2","3,2"
ITS CYBER SECURITY OPERATIONS CENTER (SOC) ANALYST M/F,ITS CYBER SECURITY OPERATIONS CENTER (SOC) ANALYST M/F - LYON (69) - INDEED.FR,Sanofi,Sanofi,3.0,"4,1","4,0","4,0","3,5","3,7","3,8"
DATA OPS ENGINEER H/F,DATA OPS ENGINEER H/F - 92300 LEVALLOIS-PERRET - INDEED.FR,Jellysmack,Jellysmack,11.0,"4,4","4,2","4,0","4,1","4,2","4,4"
STAGE ANALYSTE PRICING H/F,STAGE ANALYSTE PRICING H/F - LYON (69) - INDEED.FR,Nexans,Nexans,307.0,"4,0","3,9","4,1","3,4","3,5","3,7"
DATA ANALYST USINES - BUSINESS ANALYTICS (H/F),DATA ANALYST USINES - BUSINESS ANALYTICS (H/F) - GUYANCOURT (78) - INDEED.FR,Renault,Renault,3.0,"4,0","3,9","3,7","3,5","3,6","3,8"
ANALYSTE FONCTIONNEL BUSINESS INTELLIGENCE F/H,ANALYSTE FONCTIONNEL BUSINESS INTELLIGENCE F/H - LYON 7E (69) - INDEED.FR,Groupe AVEM,,,,,,,,
STAGE - DÉVELOPPEUR PORTAIL COLLABORATIF AVANCÉ H/F,STAGE - DÉVELOPPEUR PORTAIL COLLABORATIF AVANCÉ H/F - LYON (69) - INDEED.FR,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4"
MARKETING DATA ANALYST - BLÉDINA (H/F),MARKETING DATA ANALYST - BLÉDINA (H/F) - LIMONEST (69) - INDEED.FR,DANONE,Danone,2.0,"4,2","3,9","4,0","3,7","3,8","4,0"
STAGE - OPERATIONS PROJECTS & DATA ANALYST (H/F),STAGE - OPERATIONS PROJECTS & DATA ANALYST (H/F) - PARIS (75) - INDEED.FR,Frichti,Frichti,16.0,"3,3","3,4","3,1","3,2","2,9","3,4"
BUSINESS ANALYST- LYON- MONTREAL ASSCOCIATES,BUSINESS ANALYST- LYON- MONTREAL ASSCOCIATES - LYON (69) - INDEED.FR,montreal,,,,,,,,
DATA ANALYST (STAGE),DATA ANALYST (STAGE) - PARIS (75) - INDEED.FR,Selency,,,,,,,,
PREDICTIVE MAINTENANCE PROJECT MANAGER UPTIME & DIGITALIZATION,PREDICTIVE MAINTENANCE PROJECT MANAGER UPTIME & DIGITALIZATION - LYON (69) - INDEED.FR,Group Trucks Technology,,,,,,,,
STAGE - CONTRÔLEUR FINANCIER / DATA ANALYST,STAGE - CONTRÔLEUR FINANCIER / DATA ANALYST - PUTEAUX (92) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
PREDICTIVE MAINTENANCE PROJECT MANAGER UPTIME & DIGITALIZATION,PREDICTIVE MAINTENANCE PROJECT MANAGER UPTIME & DIGITALIZATION - LYON (69) - INDEED.FR,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9"
BUSINESS ANALYST,BUSINESS ANALYST - PARIS (75) - INDEED.FR,CANDIA,CANDIA,25.0,"3,6","3,3","3,0","2,9","2,9","3,1"
DATA ANALYST INTERN,DATA ANALYST INTERN - PARIS (75) - INDEED.FR,Dashlane,Dashlane,2.0,"3,5","4,0","4,0","4,0","2,5","3,0"
